frame_num,frame_times,scope_pulse_idx,olf_pulse_idx,baseline_idx,peakresp_idx,trialtrace_idx
1,29.8390491,1,0,0,0,0
2,30.0040326,1,0,0,0,0
3,30.1690161,1,0,0,0,0
4,30.3339996,1,0,0,0,0
5,30.4989831,1,0,0,0,0
6,30.6629667,1,0,0,0,0
7,30.8279502,1,0,0,0,0
8,30.9929337,1,0,0,0,0
9,31.1579172,1,0,0,0,0
10,31.3229007,1,0,0,0,0
11,31.4878842,1,0,0,0,0
12,31.6528677,1,0,0,0,0
13,31.8178512,1,0,0,0,0
14,31.9828347,1,0,0,0,0
15,32.1478182,1,0,0,0,0
16,32.3128017,1,0,0,0,0
17,32.4777852,1,0,0,0,0
18,32.6427687,1,0,0,0,0
19,32.8077522,1,0,0,0,0
20,32.9717358,1,0,0,0,0
21,33.1367193,1,0,0,0,0
22,33.3017028,1,0,0,0,0
23,33.4666863,1,0,0,0,0
24,33.6316698,1,0,0,0,0
25,33.7966533,1,0,0,0,0
26,33.9616368,1,0,0,0,0
27,34.1266203,1,0,0,0,0
28,34.2916038,1,0,0,0,0
29,34.4565873,1,0,0,0,0
30,34.6215708,1,0,0,0,0
31,34.7865543,1,0,0,0,0
32,34.9515378,1,0,0,0,0
33,35.1155214,1,0,0,0,0
34,35.2805049,1,0,0,0,0
35,35.4454884,1,0,0,0,0
36,35.6104719,1,0,0,0,0
37,35.7754554,1,0,0,0,0
38,35.9404389,1,0,0,0,0
39,36.1054224,1,0,0,0,0
40,36.2704059,1,0,0,0,0
41,36.4353894,1,0,0,0,0
42,36.6003729,1,0,0,0,0
43,36.7653564,1,0,0,0,0
44,36.9303399,1,0,0,0,0
45,37.0953234,1,0,0,0,0
46,37.2603069,1,0,0,0,0
47,37.4242905,1,0,0,0,0
48,37.589274,1,0,0,0,0
49,37.7542575,1,0,0,0,0
50,37.919241,1,0,0,0,0
51,38.0842245,1,0,0,0,0
52,38.249208,1,0,0,0,0
53,38.4141915,1,0,0,0,0
54,38.579175,1,0,0,0,0
55,38.7441585,1,0,0,0,0
56,38.909142,1,0,0,0,0
57,39.0741255,1,0,0,0,0
58,39.239109,1,0,0,0,0
59,39.4040925,1,0,0,0,0
60,39.569076,1,0,0,0,0
61,39.7330596,1,0,0,0,0
62,39.8980431,1,0,1,0,1
63,40.0630266,1,0,1,0,1
64,40.2280101,1,0,1,0,1
65,40.3929936,1,0,1,0,1
66,40.5579771,1,0,1,0,1
67,40.7229606,1,0,1,0,1
68,40.8879441,1,0,1,0,1
69,41.0529276,1,0,1,0,1
70,41.2179111,1,0,1,0,1
71,41.3828946,1,0,1,0,1
72,41.5478781,1,0,1,0,1
73,41.7128616,1,0,1,0,1
74,41.8778451,1,0,1,0,1
75,42.0418287,1,0,1,0,1
76,42.2068122,1,0,1,0,1
77,42.3717957,1,0,1,0,1
78,42.5367792,1,0,1,0,1
79,42.7017627,1,0,1,0,1
80,42.8667462,1,0,1,0,1
81,43.0317297,1,0,1,0,1
82,43.1967132,1,0,1,0,1
83,43.3616967,1,0,1,0,1
84,43.5266802,1,0,1,0,1
85,43.6916637,1,0,1,0,1
86,43.8566472,1,0,1,0,1
87,44.0216307,1,0,1,0,1
88,44.1856143,1,0,1,0,1
89,44.3505978,1,0,1,0,1
90,44.5155813,1,0,1,0,1
91,44.6805648,1,0,1,0,1
92,44.8455483,1,0,1,0,1
93,45.0105318,1,0,1,0,1
94,45.1755153,1,0,1,0,1
95,45.3404988,1,0,1,0,1
96,45.5054823,1,0,1,0,1
97,45.6704658,1,0,1,0,1
98,45.8354493,1,0,1,0,1
99,46.0004328,1,0,1,0,1
100,46.1654163,1,0,1,0,1
101,46.3303998,1,0,1,0,1
102,46.4943834,1,0,1,0,1
103,46.6593669,1,0,1,0,1
104,46.8243504,1,0,1,0,1
105,46.9893339,1,0,1,0,1
106,47.1543174,1,0,1,0,1
107,47.3193009,1,0,1,0,1
108,47.4842844,1,0,1,0,1
109,47.6492679,1,0,1,0,1
110,47.8142514,1,0,1,0,1
111,47.9792349,1,0,1,0,1
112,48.1442184,1,0,1,0,1
113,48.3092019,1,0,1,0,1
114,48.4741854,1,0,1,0,1
115,48.6391689,1,0,1,0,1
116,48.8031525,1,0,1,0,1
117,48.968136,1,0,1,0,1
118,49.1331195,1,0,1,0,1
119,49.298103,1,0,1,0,1
120,49.4630865,1,0,1,0,1
121,49.62807,1,0,1,0,1
122,49.7930535,1,0,1,0,1
123,49.958037,1,1,0,1,1
124,50.1230205,1,1,0,1,1
125,50.288004,1,1,0,1,1
126,50.4529875,1,1,0,1,1
127,50.617971,1,1,0,1,1
128,50.7829545,1,1,0,1,1
129,50.947938,1,1,0,1,1
130,51.1119216,1,1,0,1,1
131,51.2769051,1,1,0,1,1
132,51.4418886,1,1,0,1,1
133,51.6068721,1,1,0,1,1
134,51.7718556,1,1,0,1,1
135,51.9368391,1,0,0,1,1
136,52.1018226,1,0,0,1,1
137,52.2668061,1,0,0,1,1
138,52.4317896,1,0,0,1,1
139,52.5967731,1,0,0,1,1
140,52.7617566,1,0,0,1,1
141,52.9267401,1,0,0,1,1
142,53.0917236,1,0,0,1,1
143,53.2567071,1,0,0,1,1
144,53.4206907,1,0,0,1,1
145,53.5856742,1,0,0,1,1
146,53.7506577,1,0,0,1,1
147,53.9156412,1,0,0,1,1
148,54.0806247,1,0,0,1,1
149,54.2456082,1,0,0,1,1
150,54.4105917,1,0,0,1,1
151,54.5755752,1,0,0,1,1
152,54.7405587,1,0,0,1,1
153,54.9055422,1,0,0,0,1
154,55.0705257,1,0,0,0,1
155,55.2355092,1,0,0,0,1
156,55.4004927,1,0,0,0,1
157,55.5654762,1,0,0,0,1
158,55.7294598,1,0,0,0,1
159,55.8944433,1,0,0,0,1
160,56.0594268,1,0,0,0,1
161,56.2244103,1,0,0,0,1
162,56.3893938,1,0,0,0,1
163,56.5543773,1,0,0,0,1
164,56.7193608,1,0,0,0,1
165,56.8843443,1,0,0,0,1
166,57.0493278,1,0,0,0,1
167,57.2143113,1,0,0,0,1
168,57.3792948,1,0,0,0,1
169,57.5442783,1,0,0,0,1
170,57.7092618,1,0,0,0,1
171,57.8742453,1,0,0,0,1
172,58.0382289,1,0,0,0,1
173,58.2032124,1,0,0,0,1
174,58.3681959,1,0,0,0,1
175,58.5331794,1,0,0,0,1
176,58.6981629,1,0,0,0,1
177,58.8631464,1,0,0,0,1
178,59.0281299,1,0,0,0,1
179,59.1931134,1,0,0,0,1
180,59.3580969,1,0,0,0,1
181,59.5230804,1,0,0,0,1
182,59.6880639,1,0,0,0,1
183,59.8530474,1,0,0,0,1
184,60.0180309,1,0,0,0,1
185,60.1830144,1,0,0,0,1
186,60.346998,1,0,0,0,1
187,60.5119815,1,0,0,0,1
188,60.676965,1,0,0,0,1
189,60.8419485,1,0,0,0,1
190,61.006932,1,0,0,0,1
191,61.1719155,1,0,0,0,1
192,61.336899,1,0,0,0,1
193,61.5018825,1,0,0,0,1
194,61.666866,1,0,0,0,1
195,61.8318495,1,0,0,0,1
196,61.996833,1,0,0,0,1
197,62.1618165,1,0,0,0,1
198,62.3268,1,0,0,0,1
199,62.4917835,1,0,0,0,1
200,62.6557671,1,0,0,0,1
201,62.8207506,1,0,0,0,1
202,62.9857341,1,0,0,0,1
203,63.1507176,1,0,0,0,1
204,63.3157011,1,0,0,0,1
205,63.4806846,1,0,0,0,1
206,63.6456681,1,0,0,0,1
207,63.8106516,1,0,0,0,1
208,63.9756351,1,0,0,0,1
209,64.1406186,1,0,0,0,1
210,64.3056021,1,0,0,0,1
211,64.4705856,1,0,0,0,1
212,64.6355691,1,0,0,0,1
213,64.8005526,1,0,0,0,1
214,64.9645362,1,0,0,0,1
215,65.1295197,1,0,0,0,1
216,65.2945032,1,0,0,0,1
217,65.4594867,1,0,0,0,1
218,65.6244702,1,0,0,0,1
219,65.7894537,1,0,0,0,1
220,65.9544372,1,0,0,0,1
221,66.1194207,1,0,0,0,1
222,66.2844042,1,0,0,0,1
223,66.4493877,1,0,0,0,1
224,66.6143712,1,0,0,0,1
