hind1,hind2,hpair_ind
21,5,455
22,5,456
23,5,457
24,5,458
25,5,459
26,5,460
27,5,461
28,5,462
29,5,463
30,5,464
31,5,465
32,5,466
33,5,467
34,5,468
35,5,469
36,5,470
37,5,471
38,5,472
39,5,473
40,5,474
41,5,475
42,5,476
43,5,477
44,5,478
45,5,479
46,5,480
47,5,481
48,5,482
49,5,483
50,5,484
51,5,485
52,5,486
53,5,487
54,5,488
55,5,489
56,5,490
57,5,491
58,5,492
59,5,493
60,5,494
61,5,495
62,5,496
63,5,497
64,5,498
65,5,499
66,5,500
67,5,501
68,5,502
69,5,503
70,5,504
71,5,505
72,5,506
73,5,507
74,5,508
75,5,509
76,5,510
77,5,511
78,5,512
79,5,513
80,5,514
81,5,515
82,5,516
83,5,517
84,5,518
85,5,519
86,5,520
87,5,521
88,5,522
89,5,523
90,5,524
91,5,525
92,5,526
93,5,527
94,5,528
95,5,529
96,5,530
97,5,531
98,5,532
99,5,533
100,5,534
101,5,535
102,5,536
103,5,537
104,5,538
105,5,539
106,5,540
107,5,541
108,5,542
109,5,543
110,5,544
111,5,545
1,6,6
2,6,116
3,6,225
4,6,333
5,6,440
6,6,546
7,6,547
8,6,548
9,6,549
10,6,550
11,6,551
12,6,552
13,6,553
14,6,554
15,6,555
16,6,556
17,6,557
18,6,558
19,6,559
20,6,560
21,6,561
22,6,562
23,6,563
24,6,564
25,6,565
26,6,566
27,6,567
28,6,568
29,6,569
30,6,570
31,6,571
32,6,572
33,6,573
34,6,574
35,6,575
36,6,576
37,6,577
38,6,578
39,6,579
40,6,580
41,6,581
42,6,582
43,6,583
44,6,584
45,6,585
46,6,586
47,6,587
48,6,588
49,6,589
50,6,590
51,6,591
52,6,592
53,6,593
54,6,594
55,6,595
56,6,596
57,6,597
58,6,598
59,6,599
60,6,600
61,6,601
62,6,602
63,6,603
64,6,604
65,6,605
66,6,606
67,6,607
68,6,608
69,6,609
70,6,610
71,6,611
72,6,612
73,6,613
74,6,614
75,6,615
76,6,616
77,6,617
78,6,618
79,6,619
80,6,620
81,6,621
82,6,622
83,6,623
84,6,624
85,6,625
86,6,626
87,6,627
88,6,628
89,6,629
90,6,630
91,6,631
92,6,632
93,6,633
94,6,634
95,6,635
96,6,636
97,6,637
98,6,638
99,6,639
100,6,640
101,6,641
102,6,642
103,6,643
104,6,644
105,6,645
106,6,646
107,6,647
108,6,648
109,6,649
110,6,650
111,6,651
1,7,7
2,7,117
3,7,226
4,7,334
5,7,441
6,7,547
7,7,652
8,7,653
9,7,654
10,7,655
11,7,656
12,7,657
13,7,658
14,7,659
15,7,660
16,7,661
17,7,662
18,7,663
19,7,664
20,7,665
21,7,666
22,7,667
23,7,668
24,7,669
25,7,670
26,7,671
27,7,672
28,7,673
29,7,674
30,7,675
31,7,676
32,7,677
33,7,678
34,7,679
35,7,680
36,7,681
37,7,682
38,7,683
39,7,684
40,7,685
41,7,686
42,7,687
43,7,688
44,7,689
45,7,690
46,7,691
